Tanggal,Komentar
2023-10-16T17:33:11Z,Gak bisa menghadapi perubahan teknologi .menutup tiktok shop bukan solusi.emangnya toko online hanya itu ? yang benar itu larang aja  masyarakat menggunakan internet biar balik lagi kejaman dulu 😂.kalau gak sekalian pindah ke negara tetangga yang masrakatnya di larang menggunakan internet pasti laku tuh jualan disana.
2023-10-16T17:28:44Z,"Mdh2n para pedang toko2 atau kaki lima semakin meningkat,yg jualan di fb jg hrs disamain kyk di tik..tok"
2023-10-16T16:36:47Z,Rizki lain tik tok nu ngatur beleng beleng lu jualan😅
2023-10-16T16:30:09Z,"Mereka orang2 kaya kok di di bantu.. mreka punya usaha modal besar, mereka kuat sewa kios puluhan juta.
6jt lbh seller di tiktok, dan buanyak jg yg dr UMKM.
Ga bakal ngaruh banyak, krna dr aplikasi jual beli online lain msh bnyk jg."
2023-10-16T15:57:32Z,Alhmdlah
2023-10-16T15:17:42Z,Sama aj pessan lazada kl tana abang pake nawar segala
2023-10-16T14:56:46Z,Dia sadar ga si sbnrnya bukan ecomerse tp emg daya beli ny turun krna ekonomi kita sedang tidak baik baik aja. Coba aj ntr lebaran ga serame dlu krna ya emg pasca covid ini orng lebih memilih sembako dibandingkan sandang
2023-10-16T13:52:50Z,allhamdulilah
2023-10-16T13:30:08Z,Mending tanah abg di tutup...kl tiktok shop ditutup dpt merugikan penjual seluruh indonesia
2023-10-16T13:27:16Z,"Bagus tiktok shop ditutup,penjualan secara online terdapat modus penipuan terhadap konsumen.barang yang di tampilkan di iklan di medsos tidak sesuai dengan barang yang dikirimkan konsumen."
2023-10-16T12:52:02Z,Sepiiii polll
2023-10-16T12:48:49Z,"Katanya umkn,, kerja kalian apa???? Dapaknya banyak sekali semenjak tiktok shop di tutup sekarang mulai kurir uda sepi orderan😢😢😢"
2023-10-16T12:48:20Z,"Sebaiknya 50000 Kios pindah ke 50.000 lokasi baru atau pasar Tanah Abang sudah 50 tahun ? Sudah waktunya ganti Tanah Oma, Tanah Encim, Tanah Tante, karena yang belanja Ibu Ibu 😂😂😂"
2023-10-16T12:08:30Z,Unk perintah tolong brpihk pda pdagang kecil.jdi tutup semua jnis onlen. Byr psr tradisional bsa rme lgi
2023-10-16T11:53:51Z,kadang yg dagang jg bikin harga pakaian ngak kira kira
2023-10-16T11:47:19Z,alhamdulillah semoga ekonomi pedagang lebih maju ramai semua pedagang
2023-10-16T11:46:05Z,Inilah pemerintah yg tegas.
2023-10-16T11:42:53Z,"Gak adil, kasian kami konsumen, pedagang toko tu harga nya menipu, mereka masang harga seenaknya, harga 10rb dijual 100rb"
2023-10-16T11:22:39Z,"Aku ngga ngaruh si tik tok shop d tutup apa ngga , apa apa masih online , soal nya emang aku bukan pengguna tik tok shop , lebih ke lazada atau shopi"
2023-10-16T11:20:42Z,Percuma beri insentif apa.....klo toko mau untung banyak..percuma mau insentif apa lagi..
2023-10-16T11:18:35Z,Selama ini.. masyarakat sadar ternyata beli di toko mahal..untung banyak..makanya pada beli on-line...makanya cari untung jangan rakus..
2023-10-16T11:07:08Z,Gak pengaruh lah.    Jaman dah berubah.  Pedagang tanah Abang harus ikuti perubahan jaman
2023-10-16T10:50:35Z,Analisa ku ttep akan rame soalnya yg online pun ambil bahan dari situ😅😅😅... apalagi klau yg punya toko juga ikut online . Sumber pendapatan bisa doble itu....
2023-10-16T10:50:17Z,Bukan masalah tiktok shop atau e comerce lain yg mematikan toko offline...tp peebedaan harga yg terlampau jauh swhingga toko offline tsk mampu menyaingi...hal ini yg seharusnya menjadi peehatian pemerintah
2023-10-16T10:45:33Z,"Masalahnya toko baju sekarang bukan di pasar aja di gang rumah saya aja banyak.,,,  belum lagi tukang kridit baju keliling.   Udalah tutup aja pasar tanah abg bikin gaduh aja"
2023-10-16T10:33:29Z,Dari pada shoping lebih baik untuk beli beras dan kebutuhan sehari hari
2023-10-16T10:28:34Z,Hehehe no 1 yg bikin orang malas untuk berbelanja ofline adalah parkiran .harus ada tempat parkir murah dan aman dari........!???hehehe masih adalagi....sajalah
2023-10-16T10:25:48Z,Semoga tetap membaik sampai seterusnya amin
2023-10-16T10:20:53Z,Gak melek teknologi ya ketinggalan ente dalam berbisnis.😅😅😅
2023-10-16T10:10:54Z,Sebetulnya..nggak usah ditutup...mosok yg dipikirkan pasar tanah abang...semua ingin usah dg berkembangnya teknologi..bisa jualan onlyn..karena tdk semuanya harus datang ke jakarta..semua..ingin..usaha mencari nafkah..ee...karena pasar tanah abang sepi..semuanya kena dampaknya...menterine podo gendeng kabeh...mikirne perutnya sendiri
2023-10-16T09:58:18Z,Alhamdulillah.. perkonomian umkm mulai pulih walaupun tak serame dulu kak.. ikut seneng
2023-10-16T09:42:04Z,"Pak tolong Tutup shopp sama Lazada ,baru peniaga off line lebih bisa berkembang.."
2023-10-16T08:43:18Z,"Perkembangan jaman dan teknologi g bisa di hindari jadi kita yg harus improve gimana caranya bisa mengikuti, harus bisa lebih kreatif lagi dlm berpromosi supaya bisa bersaing di era jaman yg serba digital ini"
2023-10-16T08:42:09Z,"Mulai beli online sejak 2015an,tapi harga masih wajar,harga satuan beda dg harga grosir.jarang bgt ada freeong dan potongan harga.skrg beda, harga murce gila2an,beli satuan dpt harga grosir belum lagi potongan harga,dan freeong.ini yg harus dibenahi"
2023-10-16T08:06:40Z,Bukan. Masalah tiktok nya tpi orang lebih milih online...
2023-10-16T08:05:17Z,"Percuma di tutup ,masih ad shope,lazada dll"
2023-10-16T07:56:42Z,"Solusi yg tidak tepat,yg lebih tepat itu produsen partai besar dilarang berjualan online langsung secara ecer"
2023-10-16T06:58:06Z,"Bukan hanya tiktok coba  lazada shopi ditutup 
Pasti jualan ofline rame lagi"
2023-10-16T06:32:46Z,Belanja offline lebih bagus ..bisa di raba ..di terawang...di coba...cocok harga di bungkus...gk ketipu
2023-10-16T06:05:51Z,Rakyat ngak punya uang gimana mau shopping 😅 aku di Malaysia pun shopping barang2 keperluan sahaja kerana baju tak penting pakai ada apa aja
2023-10-16T06:02:49Z,Iya dulu tanah abang ramai...kalo pindah ke pasar lain ...apa lgi pasar senin 🎉😢
2023-10-16T05:55:30Z,"Dampak nya ya nggak seperti 
makan cabe, selain tiktokkondisi ekonomi jg berpengaruh,Yg belanja k Tanah abang umum nya Utk di jual lg, semua org ingin mencari tambahan penghasilan dgn berdagang, lalu konsumen nya siapa"
2023-10-16T05:43:47Z,Mudah mudahn tik tok shop bulan depan buka lagi
2023-10-16T05:38:35Z,Kembali ka zaman batu .. itulah pemikiran kebanyakan warga indosesia.. sampai kapanoun g bakalan maju
2023-10-16T05:35:23Z,"Bagus pemerintah,gituh dong tutup jualan onlqin kasiqn rakyat kecil kalau bisa habisin sampai akar2 nya jualqn onlain"
2023-10-16T05:11:33Z,Ini sih pembelinya rata2 ibu tapi yggenerasi z mana mau repot2.maunya yg praktis pesan brg tggal tunggu brgnya nyampe.
2023-10-16T04:46:00Z,Baju baju di Tanah Abang bagus bagus. Pelan pelan bertahap lah. Lama lama kan juga rame sy kalo Onli  jarang beli baju  paling Alat Dapur..
2023-10-16T04:43:25Z,"Hari ke hari & Zaman ke zaman terus bergulir serta berubah, apalagi skrg serba mudah, aman tanpa copet, lebih cepat, barang diantar, tidak berdesak²an & harga lebih murah di Online Shop' di Toko/Pasar Harga tinggi karena bayar sewa toko, distribusi pajak, kuli panggul & gaji karyawan.."
2023-10-16T04:43:04Z,Apa'an. Sepi itu bukan Krn tiktok tp Krn lockdon kmaren..
2023-10-16T04:40:14Z,"Tim yang males berdesak2an dan males tawar menawan tatap muka secara langsung. Kenapa lebih memilih online shop, karena bisa memilih barang dengan tipe dan harga yang di inginkan tanpa rasa canggung bertanya tanya."
2023-10-16T04:19:14Z,Ntar kalo rame lagi harga mulai naik 😂😂
2023-10-16T04:07:34Z,Jgn apa2 slhin tiktokshop tanang Abang sepi .gak mngkn jg yg rmh jauh kesana olok ongkos DNA harga mahal.skrng udah jaman canggih teknologi klo GK bisa iktin jaman gmn nanti .skrng teknologi dah canggih mau blja bisa online GK hrs ngeluarin ongkos dan tawar menawar yg hrg mhl
2023-10-16T03:38:52Z,Ya kalo  untung diem bae
2023-10-16T03:23:21Z,Elo pikir di titok itu gak ada UMKM ha.?!!  Kalau mau penelitian itu datang langsung daerah daerah prokdusen barang lokan yg basis penjualanereka itu online..jangan hanya membela bohir bohir yg punya mall besar aja..
2023-10-16T02:54:11Z,Gak ngaruh masa iya cuma Tanah abang
2023-10-16T02:48:34Z,😂😂 di negara nya sediri itu aplikasi di larang lah di indomalah di bangga banggain😂😂😂 pantes china cepat majunya
2023-10-16T02:31:00Z,"Ok lah kalo tiktok ditutup
Tapi stop satu ini saja
Pikirkan kami juga sebagai konsumen yg ingin bebas dalam berbelanja 
Pikirkan juga nasib ribuan kurir se indonesia bila mana pekerjaannya hilang"
2023-10-16T02:18:15Z,"begitulah bisnis ada musim ada orangnya, jadi kaya itu gantian"
2023-10-16T02:17:52Z,"Gada duit, buat makan aja masih untung"
2023-10-16T02:17:20Z,"Tikotok shop ditutup..
Judi online SLOT kaga ditutup...
Huuuuuu...."
2023-10-16T02:08:21Z,Rupanya Indonesia tana abang aja 😂😂😂😂😂
2023-10-16T01:56:24Z,Padahal ribuan juga para pedagang tanah abang yg jualan online ...
2023-10-16T01:55:43Z,Kalau tanah abang di hari minggu pasti sepi ...krn banyak yg tutup ....momen ini yg di manfaakan  bagi mereka ... hrsnya pada.oedagang melek teknologi juga biar bs maju ...
2023-10-16T01:39:19Z,Peran pemerintah sangat penting melindungi umkmnya.
2023-10-16T01:25:07Z,Saya sih lebih suka beli online😁.
2023-10-16T01:18:06Z,Alhamdulilah tiotok shop ditutup🎉
2023-10-16T01:00:25Z,Sebenarnya pedagang dapat melakukan e-commerce. Pembeli sebenarnya lebih suka beli langsung. Lha kenapa sepi? Bisa saja harganya kemahalan.
2023-10-16T00:41:32Z,Simpel ajh klu buat saya pribadi .. kita belanja pertama gak mau ribet.   Klu bisa onlin ngapin hrus ofline.... Trus hrga juga lebih murah ... Kadang barang gak tepat  tidak sesuai keinginan ya resiko nama ny juga kita gak mau ribet 😊😊
2023-10-16T00:21:24Z,"Mahaaaaal,enakan on-line murah GK capek"
2023-10-16T00:18:39Z,Kalo ditutup semua ollshop tu ys masa yang daerah Kalimantan Papua dll harus ke tnh abang ke rasa tau harga asli 100an di offline mau 500 mkanya online itu lebih enk
2023-10-16T00:12:55Z,Biasa rame untung banyak diem  sepi berkoar
2023-10-16T00:06:27Z,"Namanya rezeki bisa datang dari mana aja, kreativitas dalam ekonomi harus terus berjalan sesuai dengan kemajuan teknologi, itu pemerintah bisa bikin aturan, kenapa barang import dari china masih banjir di pasaran, sehingga merusak industri kecil??? Justru sumber masalah adalah banyaknya import barang masuk kenegeri ini sampai kancing baju aja mesti di import!!"
2023-10-16T00:01:21Z,Secara nyata belanja langsung lebih menyenangkan karena bisa melihat secara langsung kualitas produk yg ingin kita beli.
2023-10-15T23:54:39Z,Sbbrny barang cina lebih murah drpd brg lokal
2023-10-15T23:23:17Z,Biasa aja mba
2023-10-15T23:14:57Z,"Apamah Subsidi dari hutang? mending ga usah di terapkan, toh orang kalo ga di korupsi orang yang udah mapan ga masalah. Hemat bensin Mending beli speemdah listrik kecil, naik sepeda, mlr/mrt buat dorong UMKM."
2023-10-15T23:02:28Z,"Kalau mall & swalayan maju .
Lapangan kerja terbuka."
2023-10-15T22:54:39Z,Emang sdh berbln2 perekonomian sepiii
2023-10-15T22:47:46Z,Alhamdulillah Tanah Abang dah mulai banyak pengunjung lagi.
2023-10-15T22:19:05Z,Makanya harga sewa ruko/ tenan jangan mahal mahal biar yang jualan ga kesusahan naikan harga barang jadi masih bisa bersaing antara online atau offline
2023-10-15T18:32:17Z,"Alhamdulillah, saya yg di daerah, yg offline di pasar tradisional, bersyukur, semenjak adanya kebijakan pemerintah ttg tiktok shop online omzet agak naik sedikit dari hari hari biasanya..dengan harapan ke depan nya akan selalu jauh lebih baik,,amin"
2023-10-15T18:30:21Z,Kalo di tutup krna Tanah abang sepi..Berarti orang dari luar jawa harus belanjanya ke Tanah Abang
2023-10-15T18:27:19Z,"Heh bossss, yang di luar jawa gimana, di palembang, aceh medan, samarinda dll. LU SURUH BELANJA KE TANAH ABANG JUGA. Puluhan kurir juga pada jadi pengguran. Gila emang"
2023-10-15T18:14:00Z,Klu shopee xpress juga di tutup dong jngn titok shop lebih baik tutupsemua onlien
2023-10-15T17:12:31Z,"Mudah""an penjual off line bangkit kembali kaya dulu❤"
2023-10-15T16:45:09Z,Semoga berkah dan lancar usahany
2023-10-15T16:01:57Z,"Yang bisa blnja ke tanah Abang hanya orang Jakarta, kami yang jauh dari pelosok daerah gak bisa!"
2023-10-15T15:55:19Z,Baguslah . Biar pedagang yang berdagang langsung di pasar  lancar usahanya
2023-10-15T15:55:19Z,"Emng cuma yg di tanah Abang rakyat Indonesia, kok diperhatiin cuma di tanah Abang , dilain gak"
2023-10-15T15:40:39Z,Slot jg di tutup
2023-10-15T15:38:05Z,Lha punya gua kok masih ada😂
2023-10-15T15:24:48Z,Sudah ku duga dari dulu..jualan online ..perusak PAD ..ternyata pemikiran ku sama dg sikap pemerintah ..belilah produk daerah sendiri ..atau negara sendiri..kembali lah ke gaya lama ...karna indonesia belom siap dg pasar bebas ...sebab produk negri masi kalah dg produk luar .....kata looo
2023-10-15T15:19:19Z,"Ga ngaruh tuh,😂
Acuan kok di tabah abang😂"
2023-10-15T15:08:39Z,Tutup juga pak judi online & pinjol
2023-10-15T15:07:25Z,Utk saat ini bnyk orang2 susah bnyk penggangguran ibu2nya udah bnyk utang.dilihatnya saat ini yg laris bank keliling
2023-10-15T15:05:18Z,Semoga tanah abang jaya selalu
2023-10-15T14:36:44Z,Parkir mahal jadi salah satu faktornya
2023-10-15T14:03:16Z,"Iki Indonesia bos, seng diurusi duduk tanah abang tok mikirin masyarakat desa pelosok2"
2023-10-15T14:01:06Z,"Iki Indonesia bos, duduk tanah abang tok, UMKM desa ya dipikir semenjak tiktok shop tutup banyak pedagang desa desa pelosok menangis karena di tik tok shop jualannya ditutup mikir boss, iki Indonesia duduk jakarta ta tok seng diurusi"
2023-10-15T13:33:50Z,Tutup sj selama lama nya
2023-10-15T13:33:13Z,"Jualan online ditiktok shop dilarang,, apa bedanya dengan shopishopi, Blibli, Bukalapak, Tokopedia dan lain lain. Tetap juga jual online."
2023-10-15T12:00:50Z,"Iiiya kita hidup di dunia digital harus pinter"""
2023-10-15T11:35:57Z,Kasian kta di timor. Klu tik tok mash ada kta pesan harga brg murah. Tlg du pikirkn lg
2023-10-15T11:12:49Z,"males,byk pungli,harga dimahalin,cape"
2023-10-15T11:03:32Z,sebenarnya tiktok merangsang daya beli masyarakat karena bakar uang nya tapi bahaya nya bukan itu melainkan penyusupan produk import nya yg masif lama kelamaan
2023-10-15T10:49:33Z,Budaya kan membeli online. Krn lebih mudah lebih murah gk capek muter-muter.
2023-10-15T10:37:17Z,Ikut senang dengernya... Alhamdulillah
2023-10-15T10:19:14Z,"Saya berharap bukan hanya tiktok shop , Kali bisa shopy DLL nya juga"
2023-10-15T10:17:10Z,Alhamdulillah di tutup
2023-10-15T10:09:43Z,Masih sedikit ea... Jaman udah 5G eh ini masih jaman batu. Gak sekalian Tokopedia juga ditutup? Loe kira yg dPapua yg di Kalimantan loe suruh ke Tanah Abang???? Ongkosin bos
2023-10-15T10:01:49Z,Tik tok harus di tutup selamanya soalnya kasihan pedagang2di pasar sepi mengerikan belum lagi bayar kontrakan dan pajeknya😏😏😏😏
2023-10-15T09:58:20Z,Kalau tiktok tutup tapi masih biasa sekalian toko nya saja yg di tutup tiktok buka lagi pasti ramai
2023-10-15T09:57:12Z,"Alhamdulillah sudah saatnya kembali lagi, kurangi barang impor yang masuk ke Indonesia,"
2023-10-15T09:13:43Z,"Rame ditanah abang, banyak kurir2 yg dipecat , teman ku jdi kurir banyak dirumahkan karna sepi pengiriman katanya"
2023-10-15T08:28:34Z,Kenapa kita harus nmematikan usaha orang dengan cara menutup tiktok
2023-10-15T08:20:40Z,Sama ajah gk ngaruh.. Jaman sudah berbeda
2023-10-15T08:15:50Z,Nanti ribut lagi.mslh parkir.klw udh rame
2023-10-15T07:46:11Z,Rasain lu mangkanya jangan ngerusak harga kalo jual kan jadi ditutup tu 😂😂😂😂🎉🎉🎉
2023-10-15T07:24:34Z,Masyarakat jadi lebih makmur dan sejahtera karena pertumbuhan ekonomi Indonesia yang meningkat di era 10 tahun terakhir ini maka y judi online dan pinjol bertambah banyak 😂😂🤣
2023-10-15T07:06:26Z,Tiktok shop masih berjalan cuma skrng di kasih link 🤭
2023-10-15T07:04:42Z,"Apa kabar Blok M?? Coba beralih ke online juga, ini kasus seperti dahulu ojek online dan ojek offline (pangkalan) ujung2 nya sebagian besar ojek pangkalan beralih ke ojek online"
2023-10-15T06:24:58Z,"Mudah mudah an...ramai pengunjung..pembeli...sampai natal & idul fitri ..
Semangat para pencari nafkah...
Ada usaha...ada doa...rejeki pasti hadir..."
2023-10-15T06:18:23Z,Klo emank sedikit membaik sukurlah tetapi mereka masih juga berjuang karna masih ado shopee dan toko pedia lazada.
2023-10-15T06:01:02Z,Pertama gara gara covid (pandemi) pindah ke online semua itu aja simple
2023-10-15T05:26:41Z,"Daya beli masyarakat masih turun,"
2023-10-15T04:53:56Z,"Selain tik tok shop ditutup... 
Pemerintah harus bikin regulasi yg sm dgn pasar konvensional......
Biar jelas krna regulasi dion line sangat mudah dan sedikit tetek bengeknnyaa beda dgn pasar konvensional yg ketat regulasinnya"
2023-10-15T04:42:53Z,Tutup gundolmu. Tanah abang sepiro luase boss. Pasar nok indonesia berae ono piro. Dagangan cino seng bermasalah ukm seng keno imbas hadeeeh
2023-10-15T03:59:24Z,"Klo pedagang tanah abang rewel/ribet dan minta marketplace lain di tutup, kami di daerah ga butuh tanah abang mending tutup aja tanah Abangnya kan beres ato netizen yg yg di jakarta blokir aja agar ga bisa cek out di market place kan beres agar kita2 di daerah ttp bisa menikmati belanya onlen"
2023-10-15T03:50:29Z,"Sya lbh ccok bli online,efisien gk prlu tawar mnawar,cari model baju lbh mudah tinggal ketik muncul,beli di tanah abng pun klu bli nya eceran harga mahal sama aja mlh kdng lbh mhl d tanh abng dr pada di toko dkt rumah..skrng tuh yg hrs d ttup judi online dah jls indonesia no 1 penjudi..gimana ekonomi gk makin trpuruk kalangn pjudi dr plajr,pekerja sampai ibu rumh tngga..😢"
2023-10-15T03:39:45Z,Sopi ljda tutup
2023-10-15T03:12:59Z,"Skrg dorong UMkM online supaya bisa Di Minati masyarakat """
2023-10-15T03:08:17Z,😂😂😂😂
2023-10-15T01:59:30Z,"Aku lbh suka lihat pasar2 yg rame gini,mnrtku pribadi belanja dipasr itu sngt menyenangkan ,klo mau plng beli jajan dimkn dirmh , kn kepsr jg GK tiap harii....jdi GK bikin boros jg laahhhhh !!!!!"
2023-10-15T01:39:03Z,Semua udah di atur rejeki nya...namanya berdagang....sepi bagian dari cobaan....rame pun cobaan ......jadi jangan saling menjatuhkan...nambah pengangguran...kasihan....bisa jutaan orang ikut orang di pecat
2023-10-15T01:02:20Z,Shopie & lazada di hapus baru bisa ada perubahan
2023-10-14T23:47:56Z,Makanya kalau jualdn jangan mahal mahal
2023-10-14T23:19:06Z,"Pedagang online jadi sepi, makannya minta ditutup pedagang offline."
2023-10-14T22:25:07Z,"Tiktok tdk ada bedanya ama sopy
Sama""keranjang kuning
Hanya d tiktok itu asik krn ramai pitur"
2023-10-14T21:07:21Z,Memdingan pinjol di tutup juga sama keliling di basmi.
2023-10-14T18:53:11Z,Gue setuju tik tok shop tutup... Soalnya ga ada jaminan bisa aman kalo belanja di tik tok shop... Malah lebih Cenderung ke banyak penipuan dan parahnya ga bs komplain... Kalo di shopee atau tokped kan aman... Ada jaminan uang kembali jika barang yg kita beli ada trouble atau tidak sesuai...
2023-10-14T18:52:56Z,Bagus  saya memdukung penututpan shop di tik tok
2023-10-14T17:36:28Z,Orange dan ijo di tutup klo pingin rame klo masih ada yang ada jual beli di apk sama aja sepi coba cek kemeja di offline harga 50 terus di online sama 50 rb juga terus ada potongan voucher gratis ongkir pula wkwkwk tetep aja tanah abang bakal sepi
2023-10-14T16:27:36Z,"Gaji 3 juta baju celana yg agak bagus minimal 200 apalagi mau bli yg lain, gaji sebulan yg ada buat beli celana baju ajh sudah hbis . Semoga pada sadar y indonesiaku😂.
 Sya sebenar nya bersuku ada onlen2 agar yg jualan tidak suka2 memper mainkan harga seenak sendiri"
2023-10-14T16:22:48Z,Tutup ajh pasarnya tidak sesuai harga dengan pendapatan dari gaji UMR UMK kita dari kerja sebulan
2023-10-14T16:13:52Z,sukurin
2023-10-14T15:57:03Z,Aku senang tik tok sop ditutup karena bnyak artis2 yg jualan
2023-10-14T15:50:57Z,Nges puguh ekonomi
2023-10-14T15:46:41Z,Wuihhh bener min miningkat smpe membludak antri di jalan2 tuh kelihatan 😂😂😂😂😂😂
2023-10-14T15:45:45Z,Asal gaji besar dan gaji naik pasti pasar ramai.. tapi kalo gaji kecil ya tetap aja makin sepi..
2023-10-14T15:27:30Z,"Cintai produk dalam negeri Indonesia Raya,jika mau Indonesia maju,dan dibutuhkan pejabat yg benar dan pintar..."
2023-10-14T15:07:11Z,"Ya allah 😢 pikirkan lagi dampak nya ,banyak yg kena apalagi kurir 😭"
2023-10-14T15:05:41Z,Saya gk bisa beli kopi murah lagi setelah tiktok shop ditutup😢😢
2023-10-14T15:04:44Z,Padahal kan dia enak ya bisa dagang offline online juga bisa
2023-10-14T14:33:09Z,"Bagaimana Mau Belanja Sekarang Hampir Semua Orang Punya Angsuran  Yang 
Kerja Pabrik Kridit Motor Yang Pegawai Negeri Kridit Mobil Yang Kerja Srabutan Kadang Kerja Kadang Tidak Itupun Punya Angsuran Di Bank 😀😀😀"
2023-10-14T14:22:58Z,Info yang berguna sekali. Terima kasih
2023-10-14T13:23:00Z,Emang indonesia cuma jakarta...tanah abang sepi yg ONLINE yg di tutup...masa orang seindonesia suruh beli ke tanah abang???dan yg jualan online bukan hnya orang jakarta dan juga bukan pemain besar...sebenarnya dengan tiktok online ada pemerataan ekonomi...orang2 desa yg tidak bisa sewa tempat bisa jualan bisa memperbaiki taraf hidul
2023-10-14T12:49:09Z,Toko ijo toko orange toko merah apa g ditutup juga .....? Why.......
2023-10-14T12:20:16Z,"Gimana yaa kalau pergi ke pasar tanah abang, makan waktu mending ke online,  kalau cuma beli baju aja"
2023-10-14T12:17:13Z,"Gak adil banget ya,,tiktok shop ditutup tapi judi online masih banyak banget."
2023-10-14T11:43:13Z,suka belanja onlane hari gini belanja of Lane norak
2023-10-14T11:42:11Z,semoga Tanah Abang tambah sepi kerja nyantai
2023-10-14T11:38:43Z,"Tanah abang sepi... 
Walau tiktok ditutup... 
Judi online rame... 

Kpn ditutup pak mentri"
2023-10-14T11:23:38Z,Jgn smp tanah abang gulung tikar 💪
2023-10-14T11:18:13Z,bohong itu mah
2023-10-14T10:38:18Z,"tetep sepiiii.... Dtg ke thamcit aja sepiiii... Org2 males keluar.. Mending belanja di tiktok....sambil rebahan bs shoping... Ga capek... Murah.. Gratis ongkir.. Mknya jgn komplaiiiinnnn., rejeki udh Allah yg atur..."
2023-10-14T10:34:32Z,Sama aja ....benar kata si mbak 😂
2023-10-14T10:06:06Z,YA GINI LAH KAPAN MAJUNYA NI NEGERI BARU 1 LANGKAH MAJU DISURUH MUNDUR SENDIRI AELAH
2023-10-14T09:59:51Z,😂😂 yaelah bentar lagi juga titok shop ada lagi
2023-10-14T09:55:49Z,Memang hrs di tutup tiktop sop buat gaduh aja matiin usaha orang
2023-10-14T09:38:20Z,alhamdulillah...itulah kebijakan hadirnya pemimpin buat umkm
2023-10-14T09:25:01Z,"Alhamdulillah . . . 🤲🤲🤲
Rame lagi . . . 🎉🎉🎉🎉🎉"
2023-10-14T08:45:26Z,Ngapain cape2 ke pasar
2023-10-14T08:02:32Z,"STOP ONLINE SHOP SELURUHNYA, KARENA LEBIH  BANYAK TIPU-TIPU"
2023-10-14T07:55:00Z,Alhamdulillah.
2023-10-14T07:34:16Z,"Akhirnya rame lagi pasar offline. Kasih jempol buat menterinya! Gitu dong, teknologi boleh maju tapi harus disaring biar tidak mematikan ekonomi dlm negeri."
2023-10-14T07:03:55Z,Coba yg di tutup jangan tiktok shop tapi judi onlien semisal SLOT  mungkin itu bisa memulihkn ekonomi karnapemutaran uang dalm negeri mungkn akn stabil karna tak kekeruk oleh Slot dan di bawa ke luwr negeri
2023-10-14T06:36:12Z,"Itu dengerin yg pengguna tiktok,, bilangnya gax ngaruh, gax ngaruh darimana 😂"
2023-10-14T06:06:32Z,Ali express ada
2023-10-14T05:33:01Z,Ngga ngaruh... Tiktok pindah ke youtube... Sekarang rame di youtube yg berseliweran yg jualan banyak banget...
2023-10-14T05:27:18Z,"Sepertinya Indonesia "" tanah Abang"""
2023-10-14T05:17:50Z,"Mudah2an pak Anis jadi Presiden,semua rakyat Indonesia sejahtera .... pedagang2 seperti dulu lagi...makmur"
2023-10-14T04:44:00Z,"Tik tok shop di tutup,tp yg joget2 msh bnyak di tiktok,situs judi online msh bnyak yg bsa di buka apa lagi situs porno😂"
2023-10-14T04:42:20Z,"Sekarang beli royco aja online...mereka gak ambil untung cuma cari pengikut aja... Akibatnya warung tetangga yang ditungguin nenek nenek sepi,...menurutku yang dijual e-commerce grosisan aja dengan minimal pembelian..."
2023-10-14T04:14:45Z,"Demgan tutupnya tik tok kami dari sumatera kalimantan sulawesi tidak mungkin beli baju 2 stel harus k tanah abang baiknya tiktok tidak melayani costumer jkt saja ,gimana nasib kurir yg harus menapkahi keluarganya"
2023-10-14T04:13:20Z,"Solusi : perketat import, support UMKM, turunkan pajak, bunuh para koruptor, dan fokus membuat lapangan pekerjaan agar daya beli masyarakat bertambah. Usir TKA Aseng.
Klo udah bisa di kendalikan .. baru you jual online masyarakat konoha"
2023-10-14T04:08:45Z,Tiktok ditutup yg rame bukan pasa tanah abang melainkan Shopee 😂😂😂
2023-10-14T04:02:09Z,"setelah saya perhatiin pembelinya rata2 ibu2 , banyak juga yang sudah berumur jafi ya wajar belanja ke pasar 😅 kalo yang biasa online ya tetep online 🤭🤭🤭"
2023-10-14T03:47:02Z,"Halo pemerintah,,onlline shop yg lainnya di tutup juga spy pasar ,toserba ramai lg , toko offline ramai lagi"
2023-10-14T03:43:16Z,"Pandemi selesai, mestinya online shop di tutup juga"
2023-10-14T03:35:11Z,Tutup lah buka lapak.....
2023-10-14T03:07:45Z,Ramalam Jayabaya terbukti
2023-10-14T02:05:50Z,"Selamat ya para copet2 pasar,  preman2 pasar kalian bisa kerka lagi,  lama kalian puasa"
2023-10-14T01:45:20Z,Jangan cuma tiktok tpi semua aplikasi jualan online biar pasar n mall jdi rame lg
2023-10-14T01:45:01Z,masalahnya tanah abang ga bisa paylater 😄
2023-10-14T01:15:53Z,Kl cm tiktok doang ga byk ngaruh FB shopee laz dll juga harusny dilarang jualan live .dan e-commerce hilangkan gratis ongkir nya jadi balance yg beli online dan offline tergantung pilihan masing2 konsumen.
2023-10-14T00:42:46Z,Tutup lazada dan shoopi juga biar semua adil
2023-10-14T00:30:34Z,"klo hrga di pasar"" grosir msih lebih mahal dri tiktok percuma .."
2023-10-14T00:14:57Z,"Hore,uang parkir,uang kebersihan,uang keamanan,masuk ke ormas,masuk ke preman,masuk ke oknum,horeee🎉🎉🎉"
2023-10-13T18:59:45Z,"kalau offline pedagang brengsek seenaknya naikan harga.. kita pembeli gk tau toko mana yg murah, kalau online kita tinggal scrool liat harga cocok beli, tanah abang mahal mahal, males"
2023-10-13T18:26:44Z,❤❤❤
